title,artist,genre,year,danceability,energy,acousticness,instrumentalness,valence
Blinding Lights,The Weeknd,Pop,2019,0.514,0.730,0.001,0.000,0.334
Save Your Tears,The Weeknd,Pop,2020,0.680,0.826,0.021,0.000,0.644
Levitating,Dua Lipa,Pop,2020,0.702,0.825,0.008,0.000,0.915
Don't Start Now,Dua Lipa,Pop,2019,0.793,0.793,0.012,0.000,0.679
As It Was,Harry Styles,Pop,2022,0.520,0.731,0.342,0.001,0.662
Watermelon Sugar,Harry Styles,Pop,2019,0.548,0.816,0.122,0.000,0.557
Perfect,Ed Sheeran,Pop,2017,0.599,0.448,0.163,0.000,0.168
Shape of You,Ed Sheeran,Pop,2017,0.825,0.652,0.581,0.000,0.931
Believer,Imagine Dragons,Rock,2017,0.776,0.780,0.062,0.000,0.666
Thunder,Imagine Dragons,Rock,2017,0.605,0.822,0.006,0.134,0.288
Demons,Imagine Dragons,Rock,2012,0.700,0.710,0.190,0.000,0.428
Counting Stars,OneRepublic,Pop,2013,0.664,0.705,0.065,0.000,0.477
Apologize,OneRepublic,Pop,2006,0.654,0.676,0.078,0.000,0.278
Someone Like You,Adele,Pop,2011,0.556,0.327,0.893,0.000,0.288
Hello,Adele,Pop,2015,0.481,0.451,0.336,0.000,0.289
Rolling in the Deep,Adele,Pop,2010,0.730,0.756,0.138,0.000,0.524
Lovely,Billie Eilish,Alternative,2017,0.351,0.296,0.934,0.000,0.120
Bad Guy,Billie Eilish,Pop,2019,0.701,0.463,0.328,0.130,0.562
Happier Than Ever,Billie Eilish,Alternative,2021,0.434,0.384,0.963,0.000,0.300
Stay,The Kid LAROI,Pop,2021,0.591,0.764,0.038,0.000,0.478
Heat Waves,Glass Animals,Alternative,2020,0.761,0.525,0.440,0.000,0.531
Take Me To Church,Hozier,Alternative,2013,0.566,0.664,0.634,0.000,0.437
Yellow,Coldplay,Rock,2000,0.429,0.661,0.002,0.000,0.285
Viva La Vida,Coldplay,Rock,2008,0.486,0.619,0.095,0.000,0.417
Paradise,Coldplay,Rock,2011,0.449,0.585,0.050,0.000,0.395
